Date        Time      Moisture Level  Ambient Light  Pump Active  Pump Water Alarm  Plant Water Alarm
04/06/2023  10:22:21  2               12             0            1                 0
04/06/2023  10:22:22  2               12             0            1                 0
04/06/2023  10:22:23  2               12             0            1                 0
04/06/2023  10:22:24  2               12             0            1                 0
04/06/2023  10:22:25  2               12             0            1                 0
04/06/2023  10:22:26  2               12             0            1                 0
04/06/2023  10:22:28  2               12             0            1                 0
04/06/2023  10:22:29  2               12             0            1                 0
04/06/2023  10:22:30  2               12             0            1                 0
04/06/2023  10:22:31  2               12             0            1                 0
04/06/2023  10:22:32  2               12             0            1                 0
04/06/2023  10:22:33  2               12             0            1                 0
04/06/2023  10:22:34  2               12             0            1                 0
04/06/2023  10:22:35  2               12             0            1                 0
04/06/2023  10:22:36  2               12             0            1                 0
04/06/2023  10:22:37  2               12             0            1                 0
04/06/2023  10:22:38  2               12             0            1                 0
04/06/2023  10:22:39  2               12             0            1                 0
04/06/2023  10:22:40  2               12             0            1                 0
04/06/2023  10:22:41  2               12             0            1                 0
04/06/2023  10:22:42  2               12             0            1                 0
04/06/2023  10:22:43  2               12             0            1                 0
04/06/2023  10:22:44  2               12             0            1                 0
04/06/2023  10:22:45  2               12             0            1                 0
04/06/2023  10:22:46  2               12             0            1                 0
04/06/2023  10:22:47  2               12             0            1                 0
04/06/2023  10:22:48  2               12             0            1                 0
04/06/2023  10:22:50  2               12             0            1                 0
04/06/2023  10:22:51  2               12             0            1                 0
04/06/2023  10:22:52  2               12             0            1                 0
04/06/2023  10:22:53  2               12             0            1                 0
04/06/2023  10:22:54  2               12             0            1                 0
04/06/2023  10:22:55  2               12             0            1                 0
04/06/2023  10:22:56  2               12             0            1                 0
04/06/2023  10:22:57  2               12             0            1                 0
04/06/2023  10:22:58  2               12             0            1                 0
04/06/2023  10:22:59  2               12             0            1                 0
04/06/2023  10:23:00  2               12             0            1                 0
04/06/2023  10:23:01  2               12             0            1                 0
04/06/2023  10:23:02  2               12             0            1                 0
04/06/2023  10:23:03  2               12             0            1                 0
04/06/2023  10:23:04  2               12             0            1                 0
04/06/2023  10:23:05  2               12             0            1                 0
04/06/2023  10:23:06  2               12             0            1                 0
04/06/2023  10:23:07  2               12             0            1                 0
04/06/2023  10:23:08  2               12             0            1                 0
04/06/2023  10:23:10  2               12             0            1                 0
04/06/2023  10:23:11  2               12             0            1                 0
04/06/2023  10:23:12  2               12             0            1                 0
04/06/2023  10:23:13  2               12             0            1                 0
04/06/2023  10:23:14  2               12             0            1                 0
04/06/2023  10:23:15  2               12             0            1                 0
04/06/2023  10:23:16  2               12             0            1                 0
04/06/2023  10:23:17  2               12             0            1                 0
04/06/2023  10:23:18  2               12             0            1                 0
04/06/2023  10:23:19  2               12             0            1                 0
04/06/2023  10:23:20  2               12             0            1                 0
04/06/2023  10:23:21  2               12             0            1                 0
04/06/2023  10:23:22  2               12             0            1                 0
04/06/2023  10:23:23  2               12             0            1                 0
04/06/2023  10:23:24  2               12             0            1                 0
04/06/2023  10:23:25  2               12             0            1                 0
04/06/2023  10:23:26  2               12             0            1                 0
04/06/2023  10:23:28  2               12             0            1                 0
04/06/2023  10:23:29  2               12             0            1                 0
04/06/2023  10:23:30  2               12             0            1                 0
04/06/2023  10:23:31  2               12             0            1                 0
04/06/2023  10:23:32  2               12             0            1                 0
04/06/2023  10:23:33  2               12             0            1                 0
04/06/2023  10:23:34  2               12             0            1                 0
04/06/2023  10:23:35  2               12             0            1                 0
04/06/2023  10:23:36  2               12             0            1                 0
04/06/2023  10:23:37  2               12             0            1                 0
04/06/2023  10:23:38  2               12             0            1                 0
04/06/2023  10:23:39  2               12             0            1                 0
04/06/2023  10:23:40  2               12             0            1                 0
04/06/2023  10:23:41  2               12             0            1                 0
